event_id,timestamp,user_id,session_id,page_id,page_category,device,traffic_source,is_returning_user,page_views,time_on_page_seconds,scroll_depth_pct,bounce
evt_000000,2026-03-06 08:31:00,user_001523,sess_001238,page_102,finanças,computador,referência,0,1,90.4,37.4,0
evt_000001,2026-04-16 10:29:00,user_001366,sess_001658,page_122,esportes,celular,orgânico,0,1,87.2,49.6,0
evt_000002,2026-04-09 06:34:00,user_000218,sess_001280,page_020,notícias,tablet,redes sociais,1,1,52.6,26.4,1
evt_000003,2026-03-27 07:59:00,user_000357,sess_001188,page_035,entretenimento,computador,orgânico,1,1,50.3,33.9,0
evt_000004,2026-03-26 23:32:00,user_001786,sess_000935,page_006,notícias,computador,redes sociais,1,1,29.9,43.8,0
evt_000005,2026-04-21 12:22:00,user_001707,sess_000490,page_068,esportes,celular,referência,0,1,73.3,84.6,0
evt_000006,2026-03-06 03:45:00,user_001665,sess_000562,page_069,esportes,computador,referência,1,1,16.3,67.2,0
evt_000007,2026-04-11 20:12:00,user_000470,sess_001491,page_005,entretenimento,celular,redes sociais,1,1,25.3,62.6,0
evt_000008,2026-03-13 02:06:00,user_001530,sess_000140,page_092,tecnologia,computador,orgânico,1,1,109.0,91.1,0
evt_000009,2026-03-06 15:36:00,user_000183,sess_000169,page_002,finanças,celular,direto,1,1,78.1,100.0,0
evt_000010,2026-04-01 14:07:00,user_000433,sess_000793,page_111,entretenimento,celular,direto,0,1,61.7,39.0,1
evt_000011,2026-04-28 12:53:00,user_001496,sess_001549,page_099,notícias,celular,redes sociais,0,1,213.7,37.7,0
evt_000012,2026-04-14 03:29:00,user_001851,sess_001314,page_114,entretenimento,celular,redes sociais,1,1,72.4,45.1,0
evt_000013,2026-04-15 16:02:00,user_001966,sess_001180,page_017,notícias,computador,redes sociais,1,1,10.4,63.1,0
evt_000014,2026-04-13 01:10:00,user_002945,sess_001068,page_121,esportes,celular,orgânico,0,1,143.1,86.3,0
evt_000015,2026-04-17 03:55:00,user_002562,sess_000222,page_077,notícias,celular,redes sociais,0,1,47.8,36.3,0
evt_000016,2026-03-31 19:02:00,user_001139,sess_000664,page_121,entretenimento,computador,orgânico,0,1,159.0,56.4,0
evt_000017,2026-03-08 16:29:00,user_002348,sess_000159,page_097,entretenimento,computador,redes sociais,0,1,39.9,55.3,0
evt_000018,2026-04-20 09:14:00,user_000287,sess_001516,page_092,estilo de vida,celular,redes sociais,1,1,12.7,87.4,1
evt_000019,2026-03-28 00:33:00,user_002571,sess_001501,page_005,notícias,celular,redes sociais,0,1,65.5,76.2,1
evt_000020,2026-03-31 00:30:00,user_001160,sess_000516,page_097,esportes,celular,orgânico,1,1,56.1,36.7,1
evt_000021,2026-03-23 05:56:00,user_002280,sess_000586,page_063,finanças,computador,direto,0,1,31.4,82.7,0
evt_000022,2026-03-11 22:52:00,user_002911,sess_000635,page_119,esportes,computador,redes sociais,0,1,21.5,52.1,0
evt_000023,2026-04-25 14:32:00,user_002110,sess_001778,page_096,notícias,tablet,orgânico,0,1,93.4,63.6,0
evt_000024,2026-04-16 21:27:00,user_002760,sess_000977,page_011,estilo de vida,computador,orgânico,0,1,209.2,32.1,0
