event_id,timestamp,publisher_id,site_id,session_id,page_id,page_category,ad_unit,ad_format,device,country,ad_requests,impressions,viewable_impressions,clicks,revenue
evt_000000,2026-03-06 08:31:00,demo_publisher,site A,sess_001238,page_102,finanças,rodapé fixo,banner,computador,BR,1,1,1,0,0.00398
evt_000001,2026-04-16 10:29:00,demo_publisher,site A,sess_001658,page_122,esportes,meio do artigo,vídeo,celular,BR,1,1,1,0,0.00625
evt_000002,2026-04-09 06:34:00,demo_publisher,site A,sess_001280,page_020,notícias,topo da página,mídia rica,tablet,BR,1,1,1,0,0.01227
evt_000003,2026-03-27 07:59:00,demo_publisher,site B,sess_001188,page_035,entretenimento,topo da página,banner,computador,BR,3,3,3,0,0.00381
evt_000004,2026-03-26 23:32:00,demo_publisher,site A,sess_000935,page_006,notícias,meio do artigo,vídeo,computador,BR,1,1,0,0,0.00619
evt_000005,2026-04-21 12:22:00,demo_publisher,site B,sess_000490,page_068,esportes,meio do artigo,vídeo,celular,BR,2,2,2,0,0.01237
evt_000006,2026-03-06 03:45:00,demo_publisher,site B,sess_000562,page_069,esportes,topo da página,mídia rica,computador,BR,3,2,0,0,0.00761
evt_000007,2026-04-11 20:12:00,demo_publisher,site A,sess_001491,page_005,entretenimento,rodapé fixo,banner,celular,BR,5,5,4,0,0.00558
evt_000008,2026-03-13 02:06:00,demo_publisher,site A,sess_000140,page_092,tecnologia,meio do artigo,banner,computador,BR,1,0,0,0,0.0
evt_000009,2026-03-06 15:36:00,demo_publisher,site A,sess_000169,page_002,finanças,rodapé fixo,banner,celular,BR,5,5,2,0,0.03003
evt_000010,2026-04-01 14:07:00,demo_publisher,site A,sess_000793,page_111,entretenimento,intersticial,vídeo,celular,BR,4,2,1,0,0.01041
evt_000011,2026-04-28 12:53:00,demo_publisher,site A,sess_001549,page_099,notícias,meio do artigo,vídeo,celular,BR,1,0,0,0,0.0
evt_000012,2026-04-14 03:29:00,demo_publisher,site B,sess_001314,page_114,entretenimento,intersticial,banner,celular,BR,1,1,1,0,0.00323
evt_000013,2026-04-15 16:02:00,demo_publisher,site C,sess_001180,page_017,notícias,topo da página,banner,computador,BR,6,3,3,0,0.01568
evt_000014,2026-04-13 01:10:00,demo_publisher,site A,sess_001068,page_121,esportes,lateral,banner,celular,BR,3,2,0,0,0.00722
evt_000015,2026-04-17 03:55:00,demo_publisher,site C,sess_000222,page_077,notícias,intersticial,nativo,celular,BR,6,3,1,0,0.01105
evt_000016,2026-03-31 19:02:00,demo_publisher,site A,sess_000664,page_121,entretenimento,rodapé fixo,mídia rica,computador,BR,4,3,3,0,0.01829
evt_000017,2026-03-08 16:29:00,demo_publisher,site B,sess_000159,page_097,entretenimento,topo da página,banner,computador,BR,1,0,0,0,0.00081
evt_000018,2026-04-20 09:14:00,demo_publisher,site B,sess_001516,page_092,estilo de vida,topo da página,nativo,celular,US,5,4,1,0,0.004
evt_000019,2026-03-28 00:33:00,demo_publisher,site C,sess_001501,page_005,notícias,topo da página,nativo,celular,BR,3,3,2,0,0.01337
evt_000020,2026-03-31 00:30:00,demo_publisher,site B,sess_000516,page_097,esportes,intersticial,mídia rica,celular,BR,3,0,0,0,0.00077
evt_000021,2026-03-23 05:56:00,demo_publisher,site B,sess_000586,page_063,finanças,topo da página,vídeo,computador,BR,2,1,1,0,0.00559
evt_000022,2026-03-11 22:52:00,demo_publisher,site A,sess_000635,page_119,esportes,meio do artigo,banner,computador,BR,3,3,2,1,0.01577
evt_000023,2026-04-25 14:32:00,demo_publisher,site C,sess_001778,page_096,notícias,meio do artigo,nativo,tablet,BR,6,5,2,0,0.02331
evt_000024,2026-04-16 21:27:00,demo_publisher,site C,sess_000977,page_011,estilo de vida,meio do artigo,vídeo,computador,BR,2,0,0,0,0.00404
evt_000025,2026-04-08 15:09:00,demo_publisher,site A,sess_001524,page_124,estilo de vida,meio do artigo,mídia rica,tablet,BR,4,3,2,0,0.01238
evt_000026,2026-03-25 03:28:00,demo_publisher,site A,sess_000898,page_009,entretenimento,meio do artigo,nativo,celular,MX,1,1,0,0,0.0
evt_000027,2026-04-19 08:46:00,demo_publisher,site C,sess_001396,page_042,finanças,lateral,banner,celular,BR,5,5,3,0,0.00929
evt_000028,2026-04-02 17:25:00,demo_publisher,site B,sess_001057,page_031,esportes,meio do artigo,nativo,computador,MX,6,5,4,0,0.03355
evt_000029,2026-03-27 14:30:00,demo_publisher,site A,sess_000557,page_136,finanças,meio do artigo,nativo,celular,BR,6,5,4,0,0.0194
evt_000030,2026-03-28 00:39:00,demo_publisher,site A,sess_001752,page_022,notícias,meio do artigo,banner,tablet,BR,5,3,1,0,0.00835
evt_000031,2026-03-14 15:13:00,demo_publisher,site B,sess_001418,page_118,estilo de vida,meio do artigo,mídia rica,celular,BR,5,4,3,0,0.02612
evt_000032,2026-03-06 12:40:00,demo_publisher,site C,sess_001538,page_031,tecnologia,rodapé fixo,banner,celular,BR,4,3,1,0,0.0072
evt_000033,2026-04-03 06:36:00,demo_publisher,site A,sess_001896,page_091,notícias,meio do artigo,mídia rica,celular,AR,6,6,4,0,0.01606
evt_000034,2026-04-23 06:33:00,demo_publisher,site A,sess_000498,page_013,esportes,meio do artigo,banner,computador,MX,1,0,0,0,0.0
evt_000035,2026-03-04 19:53:00,demo_publisher,site A,sess_000184,page_055,tecnologia,topo da página,banner,tablet,US,2,2,0,0,0.01305
evt_000036,2026-04-21 11:56:00,demo_publisher,site C,sess_001164,page_087,finanças,topo da página,nativo,computador,BR,1,1,1,0,0.00474
evt_000037,2026-04-19 15:47:00,demo_publisher,site C,sess_000652,page_099,finanças,rodapé fixo,nativo,celular,BR,2,1,1,0,0.00561
evt_000038,2026-03-17 14:32:00,demo_publisher,site B,sess_000872,page_122,tecnologia,rodapé fixo,vídeo,computador,BR,2,1,1,0,0.00881
evt_000039,2026-04-07 21:35:00,demo_publisher,site A,sess_000470,page_114,estilo de vida,topo da página,nativo,celular,BR,3,3,2,1,0.00904
evt_000040,2026-03-10 21:55:00,demo_publisher,site B,sess_000797,page_073,notícias,meio do artigo,banner,celular,US,5,3,1,0,0.00695
evt_000041,2026-04-15 11:38:00,demo_publisher,site B,sess_000787,page_043,tecnologia,meio do artigo,mídia rica,celular,BR,6,6,5,0,0.01966
evt_000042,2026-04-12 00:45:00,demo_publisher,site C,sess_000701,page_037,entretenimento,lateral,nativo,computador,CL,4,4,1,0,0.0259
evt_000043,2026-03-22 06:31:00,demo_publisher,site B,sess_001484,page_139,notícias,topo da página,banner,computador,BR,1,0,0,0,0.00065
evt_000044,2026-03-05 01:48:00,demo_publisher,site B,sess_001185,page_085,notícias,intersticial,mídia rica,computador,BR,1,1,1,0,0.0051
evt_000045,2026-04-28 05:48:00,demo_publisher,site C,sess_000949,page_127,tecnologia,topo da página,banner,tablet,BR,3,3,1,0,0.02311
evt_000046,2026-03-27 17:47:00,demo_publisher,site A,sess_000226,page_061,estilo de vida,intersticial,banner,computador,BR,4,1,1,0,0.00434
