date,site_id,page_category,ad_unit,ad_format,device,traffic_source,ad_requests,impressions,viewable_impressions,clicks,revenue,sessions,users,page_views,avg_time_on_page_seconds,avg_scroll_depth_pct,bounces,returning_user_rate,ctr,ecpm,fill_rate,viewability_rate,rps,rpm,bounce_rate
2026-03-01,site A,notícias,lateral,banner,computador,direto,6,6,3,0,0.07077,1,1,1,41.5,68.0,0,0.0,0.0,11.795,1.0,0.5,0.07077,70.77,0.0
2026-03-01,site B,notícias,topo da página,vídeo,computador,orgânico,5,5,4,0,0.04672,1,1,1,111.3,76.5,0,0.0,0.0,9.344,1.0,0.8,0.04672,46.72,0.0
2026-03-01,site A,tecnologia,meio do artigo,banner,computador,orgânico,6,5,4,0,0.04648,1,1,1,11.7,60.3,1,0.0,0.0,9.296000000000001,0.8333333333333334,0.8,0.04648,46.480000000000004,1.0
2026-03-01,site B,finanças,meio do artigo,mídia rica,computador,redes sociais,5,5,5,0,0.04513,1,1,1,57.8,79.6,1,1.0,0.0,9.026,1.0,1.0,0.04513,45.13,1.0
2026-03-01,site C,finanças,topo da página,banner,celular,orgânico,6,6,4,0,0.04255,1,1,1,118.5,76.1,1,0.0,0.0,7.091666666666666,1.0,0.6666666666666666,0.04255,42.55,1.0
2026-03-01,site B,notícias,topo da página,mídia rica,computador,referência,6,5,3,0,0.03918,1,1,1,59.7,86.9,0,0.0,0.0,7.836,0.8333333333333334,0.6,0.03918,39.18,0.0
2026-03-01,site A,finanças,lateral,mídia rica,computador,redes sociais,5,4,0,0,0.03744,1,1,1,17.5,68.4,0,1.0,0.0,9.36,0.8,0.0,0.03744,37.44,0.0
2026-03-01,site B,finanças,topo da página,mídia rica,celular,referência,6,6,4,0,0.03696,1,1,1,22.5,52.3,1,1.0,0.0,6.16,1.0,0.6666666666666666,0.03696,36.96,1.0
2026-03-01,site C,notícias,rodapé fixo,banner,computador,redes sociais,10,8,8,0,0.03665,2,2,2,49.0,64.75,0,0.0,0.0,4.58125,0.8,1.0,0.018325,18.325,0.0
2026-03-01,site A,esportes,meio do artigo,nativo,computador,orgânico,6,5,3,0,0.03627,1,1,1,20.2,87.0,1,0.0,0.0,7.254,0.8333333333333334,0.6,0.03627,36.269999999999996,1.0
2026-03-01,site B,esportes,topo da página,vídeo,celular,redes sociais,6,5,4,0,0.03539,1,1,1,59.0,40.7,0,1.0,0.0,7.078,0.8333333333333334,0.8,0.03539,35.39,0.0
