event_id,timestamp,publisher_id,site_id,session_id,page_id,page_category,ad_unit,ad_format,device,country,ad_requests,impressions,viewable_impressions,clicks,revenue,user_id,traffic_source,is_returning_user,page_views,time_on_page_seconds,scroll_depth_pct,bounce,date
evt_000000,2026-03-06 08:31:00,demo_publisher,site A,sess_001238,page_102,finanças,rodapé fixo,banner,computador,BR,1,1,1,0,0.00398,user_001523,referência,0,1,90.4,37.4,0,2026-03-06
evt_000001,2026-04-16 10:29:00,demo_publisher,site A,sess_001658,page_122,esportes,meio do artigo,vídeo,celular,BR,1,1,1,0,0.00625,user_001366,orgânico,0,1,87.2,49.6,0,2026-04-16
evt_000002,2026-04-09 06:34:00,demo_publisher,site A,sess_001280,page_020,notícias,topo da página,mídia rica,tablet,BR,1,1,1,0,0.01227,user_000218,redes sociais,1,1,52.6,26.4,1,2026-04-09
evt_000003,2026-03-27 07:59:00,demo_publisher,site B,sess_001188,page_035,entretenimento,topo da página,banner,computador,BR,3,3,3,0,0.00381,user_000357,orgânico,1,1,50.3,33.9,0,2026-03-27
evt_000004,2026-03-26 23:32:00,demo_publisher,site A,sess_000935,page_006,notícias,meio do artigo,vídeo,computador,BR,1,1,0,0,0.00619,user_001786,redes sociais,1,1,29.9,43.8,0,2026-03-26
evt_000005,2026-04-21 12:22:00,demo_publisher,site B,sess_000490,page_068,esportes,meio do artigo,vídeo,celular,BR,2,2,2,0,0.01237,user_001707,referência,0,1,73.3,84.6,0,2026-04-21
evt_000006,2026-03-06 03:45:00,demo_publisher,site B,sess_000562,page_069,esportes,topo da página,mídia rica,computador,BR,3,2,0,0,0.00761,user_001665,referência,1,1,16.3,67.2,0,2026-03-06
evt_000007,2026-04-11 20:12:00,demo_publisher,site A,sess_001491,page_005,entretenimento,rodapé fixo,banner,celular,BR,5,5,4,0,0.00558,user_000470,redes sociais,1,1,25.3,62.6,0,2026-04-11
evt_000008,2026-03-13 02:06:00,demo_publisher,site A,sess_000140,page_092,tecnologia,meio do artigo,banner,computador,BR,1,0,0,0,0.0,user_001530,orgânico,1,1,109.0,91.1,0,2026-03-13
evt_000009,2026-03-06 15:36:00,demo_publisher,site A,sess_000169,page_002,finanças,rodapé fixo,banner,celular,BR,5,5,2,0,0.03003,user_000183,direto,1,1,78.1,100.0,0,2026-03-06
evt_000010,2026-04-01 14:07:00,demo_publisher,site A,sess_000793,page_111,entretenimento,intersticial,vídeo,celular,BR,4,2,1,0,0.01041,user_000433,direto,0,1,61.7,39.0,1,2026-04-01
evt_000011,2026-04-28 12:53:00,demo_publisher,site A,sess_001549,page_099,notícias,meio do artigo,vídeo,celular,BR,1,0,0,0,0.0,user_001496,redes sociais,0,1,213.7,37.7,0,2026-04-28
evt_000012,2026-04-14 03:29:00,demo_publisher,site B,sess_001314,page_114,entretenimento,intersticial,banner,celular,BR,1,1,1,0,0.00323,user_001851,redes sociais,1,1,72.4,45.1,0,2026-04-14
evt_000013,2026-04-15 16:02:00,demo_publisher,site C,sess_001180,page_017,notícias,topo da página,banner,computador,BR,6,3,3,0,0.01568,user_001966,redes sociais,1,1,10.4,63.1,0,2026-04-15
